,DXEX v3,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
0,C:\Documents and Settings\Prof. Werneck\Desktop\Testes_HTP\Testes\Testes_Topo\15mm\15mm_campo_topo_t03.lda,,,,,,,,,,,,,,,,,,
1,18:05:01,,,,,,,,,,,,,,,,,,
2,15.00 mm;-0.85 mm;0.00 mm,,,,,,,,,,,,,,,,,,
3,15_90_sub1,,,,,,,,,,,,,,,,,,
4,"""X [mm]""	""Y [mm]""	""Z [mm]""	""Date_Time""	""Count{1}""	""Data Rate{1} [#/s]""	""Validation{1} [%]""	""LDA1-Mean [m/s]""","""LDA2-Mean","[m/s]""","""LDA1-RMS","[m/s]""","""LDA2-RMS","[m/s]""","""LDA1-MeanConf","[m/s]""","""LDA2-MeanConf","[m/s]""","""LDA1-RMSConf","[m/s]""","""LDA2-RMSConf","[m/s]""","""LDA1-AnodeCur","[uA]""","""LDA2-AnodeCur","[uA]"""
38,15.00	-1.85	-3.00	18:11:45	209	41.90	88.99	-0.1082	-0.0661	0.1989	0.1777	0.0270	0.0242	0.0191	0.0171	16	22,,,,,,,,,,,,,,,,,,
39,15.00	-1.35	-3.00	18:11:58	206	41.57	94.95	-0.2108	-0.0371	0.2320	0.1509	0.0318	0.0207	0.0225	0.0146	12	19,,,,,,,,,,,,,,,,,,
40,15.00	-0.85	-3.00	18:12:10	182	37.10	92.26	-0.2970	-0.0035	0.2159	0.1704	0.0315	0.0248	0.0222	0.0176	16	16,,,,,,,,,,,,,,,,,,
41,15.00	-0.35	-3.00	18:12:22	184	37.42	96.45	-0.3486	0.0454	0.1717	0.1668	0.0249	0.0242	0.0176	0.0171	12	19,,,,,,,,,,,,,,,,,,
42,15.00	0.15	-3.00	18:12:34	216	42.39	93.96	-0.3342	0.0605	0.1823	0.1708	0.0244	0.0228	0.0172	0.0161	16	16,,,,,,,,,,,,,,,,,,
43,15.00	0.65	-3.00	18:12:47	175	35.31	96.24	-0.2781	0.1017	0.2251	0.1795	0.0334	0.0267	0.0237	0.0189	16	19,,,,,,,,,,,,,,,,,,
44,15.00	1.15	-3.00	18:13:00	190	38.45	94.86	-0.1752	0.1328	0.2284	0.1841	0.0326	0.0262	0.0230	0.0186	12	16,,,,,,,,,,,,,,,,,,
45,15.00	1.65	-3.00	18:13:12	236	47.93	94.12	-0.0123	0.1178	0.1959	0.1689	0.0251	0.0216	0.0177	0.0153	19	16,,,,,,,,,,,,,,,,,,
46,15.00	2.15	-3.50	18:13:24	199	40.48	88.71	0.0396	0.1298	0.1939	0.1751	0.0270	0.0244	0.0191	0.0172	22	38,,,,,,,,,,,,,,,,,,
47,15.00	1.65	-3.50	18:13:36	161	32.54	86.19	-0.0280	0.1269	0.1572	0.1840	0.0244	0.0285	0.0172	0.0202	19	12,,,,,,,,,,,,,,,,,,
48,15.00	1.15	-3.50	18:13:48	169	33.87	90.92	-0.1794	0.1503	0.1875	0.1491	0.0283	0.0225	0.0200	0.0159	16	19,,,,,,,,,,,,,,,,,,
