DXEX v3
C:\Documents and Settings\Prof. Werneck\Desktop\Testes_HTP\Testes\Testes_Topo\15mm\15mm_campo_topo_t02.lda
15:15:48
15.00 mm;-0.85 mm;0.00 mm
15_90_sub1
"X [mm]"	"Y [mm]"	"Z [mm]"	"Date_Time"	"Count{1}"	"Data Rate{1} [#/s]"	"Validation{1} [%]"	"LDA1-Mean [m/s]"	"LDA2-Mean [m/s]"	"LDA1-RMS [m/s]"	"LDA2-RMS [m/s]"	"LDA1-MeanConf [m/s]"	"LDA2-MeanConf [m/s]"	"LDA1-RMSConf [m/s]"	"LDA2-RMSConf [m/s]"	"LDA1-AnodeCur [uA]"	"LDA2-AnodeCur [uA]"	
15.00	0.15	-2.50	15:21:48	158	31.73	92.01	-0.3824	0.0611	0.1911	0.1924	0.0299	0.0301	0.0211	0.0213	12	16
15.00	-0.35	-2.50	15:22:00	140	28.25	96.35	-0.3617	0.0449	0.1938	0.1919	0.0322	0.0319	0.0228	0.0226	12	19
15.00	-0.85	-2.50	15:22:12	131	26.51	93.33	-0.3049	0.0032	0.2249	0.1801	0.0387	0.0310	0.0273	0.0219	16	19
15.00	-1.35	-2.50	15:22:25	151	30.78	91.01	-0.2286	-0.0278	0.2430	0.1801	0.0389	0.0288	0.0275	0.0204	16	32
15.00	-1.85	-3.00	15:22:38	146	29.59	86.06	-0.0450	-0.0790	0.2071	0.1824	0.0337	0.0297	0.0238	0.0210	12	22
15.00	-1.35	-3.00	15:22:50	159	32.14	93.09	-0.1676	-0.0482	0.1984	0.1728	0.0309	0.0270	0.0219	0.0191	16	19
15.00	-0.85	-3.00	15:23:02	154	31.37	94.65	-0.3141	0.0006	0.2070	0.1754	0.0328	0.0278	0.0232	0.0197	12	19
15.00	-0.35	-3.00	15:23:15	131	26.63	87.11	-0.3407	0.0127	0.1776	0.1735	0.0305	0.0298	0.0216	0.0211	16	16
15.00	0.15	-3.00	15:23:27	163	33.30	97.75	-0.3398	0.0675	0.1910	0.1739	0.0294	0.0268	0.0208	0.0189	16	19
15.00	0.65	-3.00	15:23:39	159	31.95	96.94	-0.2987	0.0975	0.2023	0.1726	0.0315	0.0269	0.0223	0.0190	12	22
15.00	1.15	-3.00	15:23:51	142	28.57	93.61	-0.2192	0.1027	0.2299	0.1585	0.0379	0.0262	0.0268	0.0185	25	19
15.00	1.65	-3.00	15:24:04	107	21.64	93.35	-0.0592	0.1434	0.1965	0.1828	0.0374	0.0348	0.0265	0.0246	16	19
15.00	2.15	-3.50	15:24:16	155	31.79	94.18	0.0405	0.0981	0.1830	0.1886	0.0289	0.0298	0.0204	0.0211	19	19
15.00	1.65	-3.50	15:24:28	140	28.57	82.95	-0.0708	0.1497	0.1926	0.1746	0.0320	0.0290	0.0226	0.0205	19	16
15.00	1.15	-3.50	15:24:41	116	23.47	98.21	-0.1747	0.1191	0.1925	0.1596	0.0352	0.0292	0.0249	0.0206	25	25
15.00	0.65	-3.50	15:24:53	147	29.64	97.51	-0.2855	0.0956	0.2086	0.1659	0.0338	0.0269	0.0239	0.0190	16	22
15.00	0.15	-3.50	15:25:05	161	32.71	96.35	-0.3134	0.0355	0.1869	0.1343	0.0290	0.0208	0.0205	0.0147	12	19
15.00	-0.35	-3.50	15:25:17	104	21.24	94.78	-0.3156	0.0233	0.1905	0.1620	0.0368	0.0313	0.0260	0.0221	12	16
15.00	-0.85	-3.50	15:25:30	133	27.10	83.75	-0.2382	-0.0328	0.2092	0.1475	0.0357	0.0252	0.0252	0.0178	16	19
15.00	-1.35	-3.50	15:25:42	142	29.04	89.15	-0.1814	-0.0844	0.1788	0.1743	0.0295	0.0288	0.0209	0.0203	16	19
15.00	-1.85	-3.50	15:25:54	140	28.39	89.68	-0.0956	-0.0741	0.1717	0.1742	0.0285	0.0290	0.0202	0.0205	12	19
15.00	-2.35	-3.50	15:26:07	144	29.27	94.92	0.0605	-0.1026	0.1915	0.1731	0.0314	0.0284	0.0222	0.0201	19	19
15.00	-2.85	-4.00	15:26:19	154	30.84	90.74	0.1149	-0.1111	0.1660	0.1803	0.0263	0.0286	0.0186	0.0202	16	25
15.00	-2.35	-4.00	15:26:31	142	28.91	86.30	0.0556	-0.1029	0.1938	0.1702	0.0320	0.0281	0.0226	0.0199	12	19
15.00	-1.85	-4.00	15:26:43	129	25.90	92.68	-0.0509	-0.0801	0.1983	0.1791	0.0344	0.0310	0.0243	0.0219	19	22
15.00	-1.35	-4.00	15:26:56	137	27.86	85.61	-0.1683	-0.0584	0.1735	0.1845	0.0292	0.0310	0.0206	0.0219	16	19
15.00	-0.85	-4.00	15:27:09	148	29.98	96.23	-0.1955	-0.0253	0.2023	0.1656	0.0327	0.0268	0.0231	0.0189	16	25
15.00	-0.35	-4.00	15:27:21	107	21.99	95.14	-0.2720	0.0083	0.1915	0.1331	0.0365	0.0253	0.0258	0.0179	12	19
15.00	0.15	-4.00	15:27:33	121	24.50	89.68	-0.2924	0.0630	0.1707	0.1220	0.0305	0.0218	0.0216	0.0154	12	16
15.00	0.65	-4.00	15:27:45	122	24.65	94.93	-0.2756	0.1043	0.2017	0.1271	0.0359	0.0227	0.0254	0.0160	12	19
15.00	1.15	-4.00	15:27:58	112	22.73	89.97	-0.1854	0.1045	0.1890	0.1633	0.0352	0.0304	0.0249	0.0215	19	19
15.00	1.65	-4.00	15:28:10	106	21.55	90.37	-0.1120	0.1341	0.1746	0.1556	0.0334	0.0298	0.0236	0.0211	12	16
15.00	2.15	-4.00	15:28:22	130	26.21	94.39	0.0287	0.1463	0.1892	0.1947	0.0327	0.0336	0.0231	0.0238	28	25
15.00	2.65	-4.00	15:28:35	133	26.68	82.09	0.1266	0.0917	0.1766	0.1794	0.0301	0.0306	0.0213	0.0216	25	22
15.00	3.15	-4.50	15:28:47	139	28.19	93.04	0.1147	0.0903	0.1981	0.1981	0.0330	0.0331	0.0234	0.0234	28	25
15.00	2.65	-4.50	15:28:59	127	26.88	86.96	0.0705	0.1643	0.1910	0.1619	0.0334	0.0283	0.0236	0.0200	16	22
15.00	2.15	-4.50	15:29:12	146	29.46	96.26	0.0157	0.1249	0.1770	0.1744	0.0288	0.0284	0.0204	0.0201	16	16
15.00	1.65	-4.50	15:29:25	120	24.10	94.19	-0.1031	0.0942	0.1962	0.1752	0.0353	0.0315	0.0249	0.0223	12	16
15.00	1.15	-4.50	15:29:37	110	22.83	88.95	-0.2150	0.0850	0.1816	0.1637	0.0341	0.0307	0.0241	0.0217	19	16
15.00	0.65	-4.50	15:29:49	115	22.83	97.19	-0.2073	0.0527	0.1830	0.1597	0.0336	0.0293	0.0237	0.0207	12	19
15.00	0.15	-4.50	15:30:02	104	21.07	98.69	-0.2838	0.0217	0.1886	0.1439	0.0364	0.0278	0.0258	0.0197	28	19
15.00	-0.35	-4.50	15:30:14	115	23.25	90.13	-0.2898	-0.0031	0.1692	0.1487	0.0311	0.0273	0.0220	0.0193	12	19
15.00	-0.85	-4.50	15:30:26	136	27.32	96.01	-0.2293	-0.0261	0.1861	0.1569	0.0314	0.0265	0.0222	0.0187	16	22
15.00	-1.35	-4.50	15:30:38	126	25.71	97.04	-0.1945	-0.0869	0.1961	0.1416	0.0344	0.0248	0.0243	0.0176	19	19
15.00	-1.85	-4.50	15:30:51	141	28.40	96.77	-0.0707	-0.1137	0.1983	0.1589	0.0328	0.0263	0.0232	0.0186	12	19
15.00	-2.35	-4.50	15:31:05	129	26.11	94.54	0.0463	-0.1168	0.2080	0.1835	0.0360	0.0318	0.0255	0.0225	12	16
15.00	-2.85	-4.50	15:31:16	126	25.38	87.70	0.1044	-0.1117	0.1892	0.1591	0.0332	0.0279	0.0234	0.0197	16	19
15.00	-3.35	-4.50	15:31:29	160	32.65	82.29	0.1194	-0.0934	0.1850	0.2107	0.0288	0.0327	0.0203	0.0232	12	22
15.00	-3.85	-5.00	15:31:41	175	35.49	91.19	0.1043	-0.1439	0.1725	0.1996	0.0256	0.0297	0.0181	0.0210	16	19
15.00	-3.35	-5.00	15:31:54	150	30.16	90.86	0.0913	-0.0993	0.1577	0.1772	0.0253	0.0284	0.0179	0.0201	19	16
15.00	-2.85	-5.00	15:32:06	142	28.71	96.28	0.0697	-0.1148	0.1912	0.1812	0.0316	0.0299	0.0223	0.0211	19	28
15.00	-2.35	-5.00	15:32:19	127	26.18	94.83	0.0227	-0.0942	0.1742	0.1662	0.0304	0.0290	0.0215	0.0205	16	19
15.00	-1.85	-5.00	15:32:31	144	29.00	92.32	-0.0625	-0.0939	0.2038	0.1870	0.0334	0.0307	0.0236	0.0217	16	25
15.00	-1.35	-5.00	15:32:44	140	28.02	94.81	-0.1383	-0.0579	0.1925	0.1821	0.0320	0.0303	0.0226	0.0214	19	22
15.00	-0.85	-5.00	15:32:55	123	24.72	96.13	-0.1716	-0.0571	0.1726	0.1485	0.0306	0.0264	0.0217	0.0186	19	19
15.00	-0.35	-5.00	15:33:09	93	18.62	88.95	-0.2471	-0.0003	0.1868	0.1491	0.0382	0.0305	0.0270	0.0215	16	19
15.00	0.15	-5.00	15:33:21	117	23.66	92.71	-0.2193	0.0063	0.1766	0.1561	0.0321	0.0284	0.0227	0.0201	16	16
15.00	0.65	-5.00	15:33:34	131	26.78	87.42	-0.1682	0.0176	0.1984	0.1564	0.0341	0.0269	0.0241	0.0190	16	16
15.00	1.15	-5.00	15:33:46	124	24.98	98.32	-0.1303	0.0570	0.1749	0.1581	0.0309	0.0279	0.0219	0.0198	16	16
15.00	1.65	-5.00	15:33:59	122	24.83	95.99	-0.0766	0.0902	0.2139	0.1587	0.0381	0.0283	0.0269	0.0200	12	19
15.00	2.15	-5.00	15:34:11	131	25.96	95.41	-0.0293	0.1505	0.1730	0.1568	0.0297	0.0270	0.0210	0.0191	16	16
15.00	2.65	-5.00	15:34:23	146	29.24	90.33	0.0717	0.1370	0.1827	0.1737	0.0297	0.0283	0.0210	0.0200	16	28
15.00	3.15	-5.00	15:34:36	143	28.74	95.49	0.0828	0.1489	0.1784	0.1423	0.0293	0.0234	0.0208	0.0165	16	22
15.00	3.65	-5.00	15:34:49	136	28.26	92.61	0.1010	0.1562	0.1633	0.1897	0.0275	0.0320	0.0195	0.0226	19	22
15.00	4.65	-5.50	15:35:05	136	27.24	95.83	0.0758	0.2123	0.1957	0.1904	0.0330	0.0321	0.0233	0.0227	19	19
15.00	4.15	-5.50	15:35:17	129	25.93	85.84	0.0680	0.1968	0.1748	0.1834	0.0303	0.0318	0.0214	0.0225	16	16
15.00	3.65	-5.50	15:35:29	134	26.98	94.92	0.1029	0.1602	0.1953	0.1803	0.0332	0.0306	0.0235	0.0217	12	19
15.00	3.15	-5.50	15:35:41	128	26.10	84.78	0.0696	0.1147	0.1730	0.1551	0.0301	0.0270	0.0213	0.0191	12	19
15.00	2.65	-5.50	15:35:54	133	27.57	91.95	0.0303	0.1390	0.1922	0.1704	0.0328	0.0291	0.0232	0.0206	16	22
15.00	2.15	-5.50	15:36:07	125	25.22	95.36	-0.0005	0.1025	0.2228	0.1521	0.0392	0.0268	0.0277	0.0189	16	25
15.00	1.65	-5.50	15:36:19	100	20.53	96.17	-0.0665	0.1080	0.1979	0.1593	0.0390	0.0314	0.0276	0.0222	12	28
15.00	1.15	-5.50	15:36:32	133	27.05	98.57	-0.1026	0.0848	0.2017	0.1499	0.0344	0.0256	0.0243	0.0181	12	22
15.00	0.65	-5.50	15:36:44	118	23.67	88.36	-0.1794	0.0599	0.1947	0.1345	0.0353	0.0244	0.0249	0.0172	9	16
15.00	0.15	-5.50	15:36:57	112	23.04	96.38	-0.1900	0.0026	0.1980	0.1584	0.0368	0.0295	0.0260	0.0208	12	16
15.00	-0.35	-5.50	15:37:11	96	19.52	97.02	-0.2122	-0.0405	0.1805	0.1344	0.0363	0.0270	0.0257	0.0191	16	19
15.00	-0.85	-5.50	15:37:23	126	25.42	94.25	-0.1921	-0.0560	0.1765	0.1418	0.0309	0.0249	0.0219	0.0176	12	19
15.00	-1.35	-5.50	15:37:36	146	29.74	92.90	-0.1358	-0.0680	0.2161	0.1679	0.0352	0.0273	0.0249	0.0193	12	16
15.00	-1.85	-5.50	15:37:48	160	32.56	94.67	-0.0426	-0.1004	0.2069	0.1690	0.0322	0.0263	0.0227	0.0186	12	19
15.00	-2.35	-5.50	15:38:00	147	29.52	96.40	-0.0081	-0.1010	0.2160	0.1859	0.0350	0.0302	0.0248	0.0213	19	22
15.00	-2.85	-5.50	15:38:13	128	25.84	88.65	0.0427	-0.1112	0.2009	0.1875	0.0349	0.0326	0.0247	0.0231	12	22
15.00	-3.35	-5.50	15:38:25	141	28.28	88.29	0.0791	-0.1106	0.2231	0.1928	0.0370	0.0319	0.0261	0.0226	12	19
15.00	-3.85	-5.50	15:38:37	172	34.96	96.00	0.0770	-0.1445	0.2233	0.1879	0.0335	0.0282	0.0237	0.0199	16	16
15.00	-4.35	-5.50	15:38:50	196	39.44	91.31	0.0734	-0.1787	0.2017	0.1777	0.0283	0.0249	0.0200	0.0176	16	25
15.00	-4.85	-5.50	15:39:02	143	28.72	86.53	0.0489	-0.1878	0.2191	0.2069	0.0360	0.0340	0.0255	0.0241	22	22
15.00	-6.85	-6.00	15:39:21	127	25.64	79.80	0.1000	-0.1774	0.2192	0.2485	0.0383	0.0434	0.0271	0.0307	156	38
15.00	-6.35	-6.00	15:39:33	156	31.73	60.40	0.0815	-0.2184	0.1961	0.2431	0.0309	0.0383	0.0218	0.0271	16	38
15.00	-5.85	-6.00	15:39:45	139	27.97	91.12	0.0497	-0.2112	0.2034	0.2322	0.0339	0.0387	0.0240	0.0274	19	60
15.00	-5.35	-6.00	15:39:58	143	29.92	91.69	0.0799	-0.2525	0.2038	0.1909	0.0335	0.0314	0.0237	0.0222	16	38
15.00	-4.85	-6.00	15:40:11	150	30.52	93.96	0.0486	-0.2004	0.1996	0.2020	0.0321	0.0324	0.0227	0.0229	16	41
15.00	-4.35	-6.00	15:40:23	159	32.20	94.74	0.1224	-0.1955	0.2247	0.2008	0.0350	0.0313	0.0248	0.0221	16	32
15.00	-3.85	-6.00	15:40:36	161	32.36	90.98	0.0903	-0.1955	0.2169	0.2107	0.0336	0.0327	0.0238	0.0231	12	25
15.00	-3.35	-6.00	15:40:48	144	29.18	96.10	0.0341	-0.1557	0.2269	0.1921	0.0372	0.0315	0.0263	0.0223	12	16
15.00	-2.85	-6.00	15:41:00	166	33.56	93.57	0.0192	-0.1625	0.2016	0.2057	0.0308	0.0314	0.0217	0.0222	12	19
15.00	-2.35	-6.00	15:41:12	135	26.99	92.89	0.0007	-0.1263	0.2164	0.1636	0.0366	0.0277	0.0259	0.0196	12	19
15.00	-1.85	-6.00	15:41:25	149	30.08	89.65	-0.0553	-0.1220	0.2058	0.1905	0.0332	0.0307	0.0234	0.0217	16	28
15.00	-1.35	-6.00	15:41:37	140	28.35	94.73	-0.0539	-0.0675	0.2314	0.1767	0.0385	0.0294	0.0272	0.0208	16	19
15.00	-0.85	-6.00	15:41:49	147	29.67	94.43	-0.1581	-0.0651	0.2023	0.1512	0.0328	0.0245	0.0232	0.0173	12	16
15.00	-0.35	-6.00	15:42:02	117	23.89	97.59	-0.1643	-0.0284	0.1928	0.1464	0.0351	0.0266	0.0248	0.0188	12	19
15.00	0.15	-6.00	15:42:14	114	22.89	96.93	-0.1578	0.0190	0.2002	0.1567	0.0369	0.0289	0.0261	0.0204	16	16
15.00	0.65	-6.00	15:42:27	121	24.61	96.08	-0.1804	0.0094	0.1871	0.1477	0.0335	0.0264	0.0237	0.0187	12	22
15.00	1.15	-6.00	15:42:40	131	26.42	92.09	-0.0994	0.0879	0.1850	0.1562	0.0318	0.0268	0.0225	0.0190	16	22
15.00	1.65	-6.00	15:42:52	112	23.05	96.09	-0.0981	0.1306	0.1935	0.1769	0.0360	0.0329	0.0255	0.0233	12	19
15.00	2.15	-6.00	15:43:04	121	25.04	93.86	0.0013	0.1345	0.2406	0.1551	0.0430	0.0278	0.0304	0.0196	12	19
15.00	2.65	-6.00	15:43:16	121	24.89	93.44	-0.0159	0.1448	0.2071	0.1745	0.0371	0.0312	0.0262	0.0221	12	19
15.00	3.15	-6.00	15:43:30	150	30.13	91.31	0.0433	0.1505	0.1796	0.1725	0.0288	0.0277	0.0204	0.0196	19	35
15.00	3.65	-6.00	15:43:42	125	25.16	91.30	0.0947	0.1893	0.1740	0.1750	0.0306	0.0308	0.0217	0.0218	12	19
15.00	4.15	-6.00	15:43:54	140	28.18	93.20	0.0666	0.1822	0.2111	0.1938	0.0351	0.0322	0.0248	0.0228	12	22
15.00	4.65	-6.00	15:44:07	92	18.87	91.52	0.0635	0.2257	0.1797	0.1817	0.0369	0.0373	0.0261	0.0264	12	22
15.00	5.15	-6.00	15:44:19	120	24.11	94.09	0.0514	0.2472	0.1870	0.1927	0.0336	0.0346	0.0238	0.0245	16	28
15.00	5.65	-6.00	15:44:31	143	28.59	94.17	0.0522	0.2700	0.1772	0.2171	0.0291	0.0357	0.0206	0.0252	19	25
15.00	6.15	-6.00	15:44:43	147	29.75	91.46	0.0878	0.2306	0.2053	0.2235	0.0333	0.0362	0.0235	0.0256	16	22
15.00	6.65	-6.00	15:44:56	124	25.05	88.17	0.0668	0.2001	0.2014	0.2592	0.0356	0.0458	0.0252	0.0324	16	25
15.00	7.15	-6.00	15:45:09	131	26.09	94.19	0.0972	0.1834	0.1702	0.2146	0.0293	0.0369	0.0207	0.0261	16	22
15.00	7.15	-6.50	15:45:21	130	25.85	92.48	0.0331	0.2361	0.2042	0.2258	0.0352	0.0390	0.0249	0.0276	16	25
15.00	6.65	-6.50	15:45:34	141	28.62	91.81	0.0452	0.2711	0.2047	0.2217	0.0339	0.0367	0.0240	0.0260	16	28
15.00	6.15	-6.50	15:45:47	143	28.27	98.00	0.0511	0.2740	0.1719	0.1760	0.0283	0.0290	0.0200	0.0205	12	19
15.00	5.65	-6.50	15:46:00	149	30.00	95.64	0.0679	0.2557	0.1863	0.1881	0.0300	0.0303	0.0212	0.0214	12	16
15.00	5.15	-6.50	15:46:12	152	30.75	95.64	0.0516	0.2559	0.1960	0.1950	0.0313	0.0311	0.0221	0.0220	16	19
15.00	4.65	-6.50	15:46:24	129	26.34	85.10	0.0575	0.2841	0.2002	0.1671	0.0347	0.0289	0.0245	0.0205	12	19
15.00	4.15	-6.50	15:46:36	117	23.78	97.45	0.0965	0.2387	0.2323	0.1774	0.0423	0.0323	0.0299	0.0228	16	22
15.00	3.65	-6.50	15:46:50	94	19.82	94.98	0.0816	0.2301	0.2368	0.1860	0.0481	0.0378	0.0340	0.0267	12	19
15.00	3.15	-6.50	15:47:02	108	21.90	97.36	0.0267	0.2054	0.2385	0.1523	0.0452	0.0289	0.0320	0.0204	12	19
15.00	2.65	-6.50	15:47:15	138	27.98	97.46	-0.0211	0.1776	0.2147	0.1903	0.0359	0.0319	0.0254	0.0225	12	19
15.00	2.15	-6.50	15:47:27	126	25.19	94.09	-0.0239	0.1379	0.2367	0.1703	0.0415	0.0298	0.0293	0.0211	12	25
15.00	1.65	-6.50	15:47:40	105	21.84	94.00	-0.1057	0.1477	0.2151	0.1956	0.0413	0.0376	0.0292	0.0266	12	19
15.00	1.15	-6.50	15:47:53	126	25.62	90.87	-0.1063	0.1220	0.2047	0.1805	0.0359	0.0316	0.0254	0.0224	12	19
15.00	0.65	-6.50	15:48:06	108	22.03	94.29	-0.1540	0.0925	0.2221	0.1410	0.0421	0.0267	0.0298	0.0189	16	25
15.00	0.15	-6.50	15:48:18	102	20.90	97.02	-0.1561	0.0261	0.2328	0.1703	0.0454	0.0332	0.0321	0.0235	12	22
15.00	-0.35	-6.50	15:48:31	109	22.00	91.23	-0.1920	0.0004	0.1949	0.1414	0.0368	0.0267	0.0260	0.0189	16	22
15.00	-0.85	-6.50	15:48:43	136	27.70	95.04	-0.1504	-0.0432	0.2039	0.1552	0.0344	0.0262	0.0243	0.0185	12	19
15.00	-1.35	-6.50	15:48:55	145	29.67	96.21	-0.1247	-0.1152	0.2278	0.1671	0.0372	0.0273	0.0263	0.0193	12	16
15.00	-1.85	-6.50	15:49:07	136	28.94	92.77	-0.0362	-0.1401	0.2468	0.1844	0.0416	0.0311	0.0294	0.0220	16	19
15.00	-2.35	-6.50	15:49:20	151	30.29	94.44	0.0249	-0.1644	0.2410	0.1871	0.0386	0.0299	0.0273	0.0212	12	16
15.00	-2.85	-6.50	15:49:32	141	28.73	89.25	-0.0149	-0.1673	0.2063	0.2036	0.0342	0.0337	0.0242	0.0238	12	22
15.00	-3.35	-6.50	15:49:44	133	26.99	89.72	0.0231	-0.1886	0.2403	0.1860	0.0410	0.0317	0.0290	0.0224	12	22
15.00	-3.85	-6.50	15:49:56	119	24.12	94.55	0.0620	-0.2414	0.2248	0.2010	0.0406	0.0363	0.0287	0.0256	12	19
15.00	-4.35	-6.50	15:50:09	148	29.92	91.50	0.0868	-0.1882	0.2244	0.2059	0.0363	0.0333	0.0257	0.0235	16	22
15.00	-4.85	-6.50	15:50:22	159	32.02	92.04	0.0577	-0.2008	0.2120	0.2112	0.0331	0.0329	0.0234	0.0233	12	16
15.00	-5.35	-6.50	15:50:34	129	26.15	94.61	0.0918	-0.2421	0.2137	0.1793	0.0370	0.0311	0.0262	0.0220	12	16
15.00	-5.85	-6.50	15:50:46	159	32.01	90.96	0.0301	-0.2712	0.2109	0.2059	0.0329	0.0321	0.0233	0.0227	16	19
15.00	-6.35	-6.50	15:50:59	168	34.23	91.90	0.0502	-0.2552	0.1952	0.1989	0.0296	0.0302	0.0209	0.0213	16	16
15.00	-6.85	-6.50	15:51:11	138	27.07	94.80	0.0411	-0.2270	0.1996	0.2284	0.0334	0.0382	0.0236	0.0270	16	22
15.00	-6.85	-7.00	15:51:23	141	28.56	92.72	0.0080	-0.2920	0.2207	0.1912	0.0366	0.0317	0.0259	0.0224	16	19
15.00	-6.35	-7.00	15:51:35	145	29.28	89.73	0.0220	-0.2851	0.2057	0.1878	0.0336	0.0307	0.0238	0.0217	16	19
15.00	-5.85	-7.00	15:51:48	159	31.82	92.63	0.0143	-0.2779	0.2197	0.2221	0.0343	0.0346	0.0242	0.0245	16	19
15.00	-5.35	-7.00	15:52:00	137	27.65	95.79	0.0865	-0.2670	0.2427	0.2112	0.0408	0.0355	0.0288	0.0251	16	22
15.00	-4.85	-7.00	15:52:12	173	34.85	93.61	0.0329	-0.2989	0.2431	0.2099	0.0363	0.0314	0.0257	0.0222	16	28
15.00	-4.35	-7.00	15:52:24	149	29.85	90.96	0.0475	-0.2549	0.2656	0.2210	0.0428	0.0356	0.0303	0.0252	12	19
15.00	-3.85	-7.00	15:52:37	123	24.70	93.68	0.0542	-0.2600	0.2574	0.2085	0.0457	0.0370	0.0323	0.0262	12	19
