24,15.00	-0.85	-1.50	12:31:53	206	41.32	93.24	-0.3456	0.0366	0.2120	0.1979	0.0290	0.0271	0.0205	0.0192	12	32,,,,,,,,,,,,,,,,,,
25,15.00	-1.35	-1.50	12:32:05	252	50.62	91.88	-0.2843	0.0018	0.2618	0.2162	0.0324	0.0267	0.0229	0.0189	16	28,,,,,,,,,,,,,,,,,,
26,15.00	-1.35	-2.00	12:32:17	247	49.86	78.97	-0.2410	0.0126	0.2524	0.1899	0.0315	0.0237	0.0223	0.0168	16	22,,,,,,,,,,,,,,,,,,
27,15.00	-0.85	-2.00	12:32:29	222	44.63	90.11	-0.3431	0.0298	0.2434	0.2017	0.0321	0.0266	0.0227	0.0188	12	22,,,,,,,,,,,,,,,,,,
28,15.00	-0.35	-2.00	12:32:42	218	43.72	92.29	-0.3946	0.0534	0.1821	0.2115	0.0242	0.0281	0.0171	0.0199	12	25,,,,,,,,,,,,,,,,,,
29,15.00	0.15	-2.00	12:32:54	265	53.13	95.19	-0.4033	0.0856	0.1786	0.1929	0.0215	0.0233	0.0152	0.0165	9	22,,,,,,,,,,,,,,,,,,
30,15.00	0.65	-2.00	12:33:06	246	50.31	88.61	-0.3241	0.0634	0.2201	0.1799	0.0276	0.0225	0.0195	0.0159	12	28,,,,,,,,,,,,,,,,,,
31,15.00	1.15	-2.00	12:33:18	252	50.83	90.53	-0.2381	0.1003	0.2419	0.2101	0.0299	0.0260	0.0212	0.0184	16	19,,,,,,,,,,,,,,,,,,
32,15.00	1.15	-2.50	12:33:30	213	42.64	93.78	-0.2429	0.1233	0.2358	0.1676	0.0317	0.0226	0.0224	0.0160	16	19,,,,,,,,,,,,,,,,,,
33,15.00	0.65	-2.50	12:33:42	230	46.22	96.75	-0.3375	0.0957	0.2279	0.1777	0.0295	0.0230	0.0209	0.0163	9	25,,,,,,,,,,,,,,,,,,
34,15.00	0.15	-2.50	12:33:55	244	49.55	91.40	-0.3613	0.0551	0.1964	0.1847	0.0247	0.0232	0.0175	0.0164	12	19,,,,,,,,,,,,,,,,,,
35,15.00	-0.35	-2.50	12:34:07	232	46.82	88.72	-0.3474	0.0138	0.2035	0.1731	0.0262	0.0223	0.0186	0.0158	12	22,,,,,,,,,,,,,,,,,,
36,15.00	-0.85	-2.50	12:34:19	225	45.79	93.19	-0.3234	0.0111	0.2396	0.1655	0.0314	0.0217	0.0222	0.0153	12	22,,,,,,,,,,,,,,,,,,
37,15.00	-1.35	-2.50	12:34:31	206	42.10	91.20	-0.2054	-0.0319	0.2450	0.1775	0.0335	0.0243	0.0237	0.0172	16	19,,,,,,,,,,,,,,,,,,
38,15.00	-1.85	-3.00	12:34:44	196	40.01	95.37	-0.0493	-0.0781	0.1810	0.1685	0.0254	0.0236	0.0180	0.0167	9	19,,,,,,,,,,,,,,,,,,
39,15.00	-1.35	-3.00	12:34:56	210	42.46	95.11	-0.1990	-0.0420	0.2198	0.1769	0.0298	0.0240	0.0211	0.0170	16	22,,,,,,,,,,,,,,,,,,
40,15.00	-0.85	-3.00	12:35:08	189	37.65	89.22	-0.3053	-0.0067	0.2189	0.1587	0.0313	0.0227	0.0221	0.0160	12	19,,,,,,,,,,,,,,,,,,
41,15.00	-0.35	-3.00	12:35:20	164	33.67	92.31	-0.3519	0.0342	0.1964	0.1849	0.0301	0.0284	0.0213	0.0201	12	19,,,,,,,,,,,,,,,,,,
42,15.00	0.15	-3.00	12:35:33	224	45.07	93.13	-0.3141	0.0676	0.1858	0.1609	0.0244	0.0211	0.0172	0.0149	16	25,,,,,,,,,,,,,,,,,,
43,15.00	0.65	-3.00	12:35:45	235	47.10	92.42	-0.3098	0.1056	0.1851	0.1553	0.0237	0.0199	0.0168	0.0141	16	25,,,,,,,,,,,,,,,,,,
44,15.00	1.15	-3.00	12:35:57	209	41.98	94.23	-0.2286	0.1550	0.2020	0.1813	0.0274	0.0246	0.0194	0.0174	25	16,,,,,,,,,,,,,,,,,,
45,15.00	1.65	-3.00	12:36:10	239	48.35	92.34	-0.0531	0.1359	0.2040	0.1868	0.0259	0.0237	0.0183	0.0168	12	19,,,,,,,,,,,,,,,,,,
46,15.00	2.15	-3.50	12:36:22	239	48.65	92.16	0.0161	0.1231	0.2003	0.1750	0.0254	0.0222	0.0180	0.0157	19	28,,,,,,,,,,,,,,,,,,
47,15.00	1.65	-3.50	12:36:34	197	41.13	91.85	-0.0785	0.1430	0.1786	0.1587	0.0250	0.0222	0.0177	0.0157	16	16,,,,,,,,,,,,,,,,,,
48,15.00	1.15	-3.50	12:36:47	234	46.96	96.92	-0.1738	0.1228	0.2017	0.1648	0.0259	0.0212	0.0183	0.0150	22	22,,,,,,,,,,,,,,,,,,
49,15.00	0.65	-3.50	12:36:59	240	48.19	96.01	-0.2502	0.1043	0.1931	0.1395	0.0245	0.0177	0.0173	0.0125	12	16,,,,,,,,,,,,,,,,,,
50,15.00	0.15	-3.50	12:37:11	219	44.31	92.03	-0.2817	0.0469	0.1907	0.1468	0.0253	0.0195	0.0179	0.0138	12	19,,,,,,,,,,,,,,,,,,
51,15.00	-0.35	-3.50	12:37:24	203	41.55	91.78	-0.2929	-0.0055	0.1849	0.1417	0.0255	0.0195	0.0180	0.0138	9	22,,,,,,,,,,,,,,,,,,
52,15.00	-0.85	-3.50	12:37:36	238	48.48	90.33	-0.2408	-0.0297	0.1880	0.1512	0.0239	0.0193	0.0169	0.0136	12	16,,,,,,,,,,,,,,,,,,
53,15.00	-1.35	-3.50	12:37:48	243	49.13	96.65	-0.1722	-0.0767	0.1902	0.1709	0.0240	0.0215	0.0169	0.0152	12	19,,,,,,,,,,,,,,,,,,
54,15.00	-1.85	-3.50	12:38:00	222	44.93	93.01	-0.0469	-0.0820	0.1720	0.1915	0.0227	0.0253	0.0160	0.0179	9	19,,,,,,,,,,,,,,,,,,
55,15.00	-2.35	-3.50	12:38:12	245	49.44	94.76	0.0795	-0.0931	0.1969	0.1652	0.0247	0.0207	0.0175	0.0147	16	19,,,,,,,,,,,,,,,,,,
56,15.00	-2.85	-4.00	12:38:25	224	44.87	87.46	0.1105	-0.0842	0.1906	0.2130	0.0250	0.0280	0.0177	0.0198	16	22,,,,,,,,,,,,,,,,,,
57,15.00	-2.35	-4.00	12:38:37	213	43.43	95.49	0.0649	-0.0711	0.1985	0.2042	0.0267	0.0275	0.0189	0.0194	12	25,,,,,,,,,,,,,,,,,,
58,15.00	-1.85	-4.00	12:38:49	251	50.89	92.96	-0.0622	-0.0829	0.1910	0.1709	0.0237	0.0212	0.0167	0.0150	16	28,,,,,,,,,,,,,,,,,,
59,15.00	-1.35	-4.00	12:39:02	224	45.04	91.84	-0.2019	-0.0826	0.1656	0.1724	0.0217	0.0226	0.0154	0.0160	12	22,,,,,,,,,,,,,,,,,,
60,15.00	-0.85	-4.00	12:39:14	242	48.45	93.16	-0.2427	-0.0379	0.2027	0.1583	0.0256	0.0200	0.0181	0.0141	12	19,,,,,,,,,,,,,,,,,,
61,15.00	-0.35	-4.00	12:39:26	211	42.57	96.50	-0.2818	0.0043	0.1824	0.1586	0.0247	0.0215	0.0174	0.0152	12	22,,,,,,,,,,,,,,,,,,
62,15.00	0.15	-4.00	12:39:38	233	46.93	95.24	-0.2609	0.0449	0.1834	0.1343	0.0236	0.0173	0.0167	0.0122	12	22,,,,,,,,,,,,,,,,,,
63,15.00	0.65	-4.00	12:39:51	196	39.58	96.64	-0.2634	0.0774	0.1768	0.1380	0.0248	0.0194	0.0175	0.0137	12	25,,,,,,,,,,,,,,,,,,
64,15.00	1.15	-4.00	12:40:03	211	42.52	95.95	-0.1678	0.1160	0.1836	0.1650	0.0248	0.0223	0.0176	0.0158	22	25,,,,,,,,,,,,,,,,,,
65,15.00	1.65	-4.00	12:40:15	205	41.16	90.89	-0.0932	0.1463	0.1701	0.1770	0.0233	0.0243	0.0165	0.0172	12	16,,,,,,,,,,,,,,,,,,
66,15.00	2.15	-4.00	12:40:27	180	36.92	87.39	0.0047	0.1140	0.1865	0.1759	0.0273	0.0258	0.0193	0.0182	22	22,,,,,,,,,,,,,,,,,,
67,15.00	2.65	-4.00	12:40:40	186	37.21	83.62	0.1013	0.0991	0.1695	0.1899	0.0244	0.0274	0.0173	0.0193	22	22,,,,,,,,,,,,,,,,,,
68,15.00	3.15	-4.50	12:40:52	177	35.55	90.70	0.1227	0.1607	0.1882	0.1736	0.0278	0.0256	0.0197	0.0181	16	22,,,,,,,,,,,,,,,,,,
69,15.00	2.65	-4.50	12:41:04	228	45.79	92.70	0.0779	0.1675	0.1894	0.1738	0.0246	0.0226	0.0174	0.0160	16	25,,,,,,,,,,,,,,,,,,
70,15.00	2.15	-4.50	12:41:17	216	43.21	88.79	0.0032	0.1194	0.1964	0.1757	0.0263	0.0235	0.0186	0.0166	19	22,,,,,,,,,,,,,,,,,,
71,15.00	1.65	-4.50	12:41:29	202	40.64	95.16	-0.1104	0.1255	0.2076	0.1709	0.0287	0.0236	0.0203	0.0167	16	22,,,,,,,,,,,,,,,,,,
72,15.00	1.15	-4.50	12:41:42	186	37.69	97.71	-0.1705	0.1010	0.1913	0.1623	0.0276	0.0234	0.0195	0.0165	19	19,,,,,,,,,,,,,,,,,,
73,15.00	0.65	-4.50	12:41:55	193	38.66	93.98	-0.2565	0.0491	0.1809	0.1717	0.0256	0.0243	0.0181	0.0172	12	19,,,,,,,,,,,,,,,,,,
74,15.00	0.15	-4.50	12:42:07	205	41.44	92.90	-0.2471	0.0092	0.1875	0.1467	0.0257	0.0201	0.0182	0.0142	35	19,,,,,,,,,,,,,,,,,,
75,15.00	-0.35	-4.50	12:42:19	208	42.22	93.23	-0.2592	-0.0200	0.1868	0.1408	0.0254	0.0192	0.0180	0.0136	12	19,,,,,,,,,,,,,,,,,,
76,15.00	-0.85	-4.50	12:42:31	206	42.04	94.32	-0.2141	-0.0247	0.1996	0.1536	0.0273	0.0210	0.0193	0.0149	16	19,,,,,,,,,,,,,,,,,,
77,15.00	-1.35	-4.50	12:42:43	294	59.11	93.41	-0.1671	-0.0714	0.1875	0.1608	0.0215	0.0184	0.0152	0.0130	16	25,,,,,,,,,,,,,,,,,,
78,15.00	-1.85	-4.50	12:42:56	198	39.71	84.40	-0.0593	-0.0868	0.2192	0.1688	0.0306	0.0236	0.0216	0.0167	12	19,,,,,,,,,,,,,,,,,,
79,15.00	-2.35	-4.50	12:43:08	214	43.16	93.80	0.0050	-0.1295	0.1844	0.1776	0.0248	0.0238	0.0175	0.0169	12	19,,,,,,,,,,,,,,,,,,
80,15.00	-2.85	-4.50	12:43:21	213	43.10	93.86	0.1072	-0.1007	0.1881	0.1871	0.0253	0.0252	0.0179	0.0178	16	25,,,,,,,,,,,,,,,,,,
81,15.00	-3.35	-4.50	12:43:34	237	47.89	92.84	0.1133	-0.0970	0.1928	0.1804	0.0246	0.0230	0.0174	0.0163	12	22,,,,,,,,,,,,,,,,,,
82,15.00	-3.85	-5.00	12:43:46	194	39.14	90.77	0.1040	-0.1304	0.1903	0.1942	0.0268	0.0274	0.0190	0.0194	12	22,,,,,,,,,,,,,,,,,,
83,15.00	-3.35	-5.00	12:43:59	190	38.55	92.67	0.1014	-0.1321	0.1688	0.1626	0.0241	0.0232	0.0170	0.0164	19	19,,,,,,,,,,,,,,,,,,
84,15.00	-2.85	-5.00	12:44:11	229	46.56	92.00	0.0573	-0.1224	0.2072	0.1826	0.0269	0.0237	0.0190	0.0168	12	19,,,,,,,,,,,,,,,,,,
85,15.00	-2.35	-5.00	12:44:23	243	49.02	92.20	0.0516	-0.1039	0.1970	0.1678	0.0248	0.0211	0.0176	0.0149	16	19,,,,,,,,,,,,,,,,,,
86,15.00	-1.85	-5.00	12:44:36	235	47.54	96.19	-0.0561	-0.0970	0.2065	0.1684	0.0265	0.0216	0.0187	0.0153	12	22,,,,,,,,,,,,,,,,,,
87,15.00	-1.35	-5.00	12:44:48	227	45.71	91.14	-0.1545	-0.0596	0.1812	0.1622	0.0236	0.0212	0.0167	0.0150	12	19,,,,,,,,,,,,,,,,,,
88,15.00	-0.85	-5.00	12:45:00	170	34.15	92.48	-0.1869	-0.0490	0.1861	0.1321	0.0281	0.0199	0.0198	0.0141	16	22,,,,,,,,,,,,,,,,,,
89,15.00	-0.35	-5.00	12:45:13	172	34.68	93.37	-0.2258	-0.0072	0.1643	0.1543	0.0246	0.0231	0.0174	0.0164	16	22,,,,,,,,,,,,,,,,,,
90,15.00	0.15	-5.00	12:45:25	187	38.47	94.87	-0.2432	0.0251	0.1807	0.1324	0.0260	0.0190	0.0184	0.0135	16	25,,,,,,,,,,,,,,,,,,
91,15.00	0.65	-5.00	12:45:37	222	45.69	96.74	-0.1867	0.0496	0.1944	0.1666	0.0256	0.0220	0.0181	0.0155	12	22,,,,,,,,,,,,,,,,,,
92,15.00	1.15	-5.00	12:45:49	165	33.92	95.05	-0.1245	0.0802	0.1786	0.1540	0.0273	0.0236	0.0193	0.0167	16	22,,,,,,,,,,,,,,,,,,
93,15.00	1.65	-5.00	12:46:02	186	37.48	91.78	-0.1179	0.1132	0.1837	0.1599	0.0265	0.0230	0.0187	0.0163	12	19,,,,,,,,,,,,,,,,,,
94,15.00	2.15	-5.00	12:46:14	197	39.57	95.17	-0.0113	0.1125	0.1968	0.1708	0.0275	0.0239	0.0195	0.0169	12	19,,,,,,,,,,,,,,,,,,
95,15.00	2.65	-5.00	12:46:26	226	45.33	94.92	0.0620	0.1318	0.1833	0.1875	0.0240	0.0245	0.0169	0.0173	16	32,,,,,,,,,,,,,,,,,,
96,15.00	3.15	-5.00	12:46:39	182	37.65	90.68	0.0952	0.1554	0.1758	0.1862	0.0256	0.0271	0.0181	0.0192	16	19,,,,,,,,,,,,,,,,,,
97,15.00	3.65	-5.00	12:46:52	209	41.93	92.58	0.0981	0.1862	0.1657	0.1931	0.0225	0.0262	0.0159	0.0186	16	22,,,,,,,,,,,,,,,,,,
98,15.00	4.65	-5.50	12:47:06	179	36.64	90.67	0.0439	0.2123	0.1674	0.1896	0.0246	0.0279	0.0174	0.0197	19	19,,,,,,,,,,,,,,,,,,
99,15.00	4.15	-5.50	12:47:19	187	37.49	91.09	0.0878	0.1959	0.1596	0.1714	0.0229	0.0246	0.0162	0.0174	12	19,,,,,,,,,,,,,,,,,,
100,15.00	3.65	-5.50	12:47:32	184	37.79	91.66	0.0480	0.1686	0.1674	0.1765	0.0243	0.0256	0.0171	0.0181	9	19,,,,,,,,,,,,,,,,,,
101,15.00	3.15	-5.50	12:47:44	220	44.73	93.29	0.0638	0.1443	0.2009	0.1774	0.0266	0.0235	0.0188	0.0166	12	22,,,,,,,,,,,,,,,,,,
102,15.00	2.65	-5.50	12:47:56	207	41.58	92.79	0.0337	0.1297	0.2086	0.1757	0.0285	0.0240	0.0201	0.0170	12	25,,,,,,,,,,,,,,,,,,
103,15.00	2.15	-5.50	12:48:09	172	34.46	93.22	-0.0286	0.1325	0.1879	0.1713	0.0282	0.0257	0.0199	0.0182	12	25,,,,,,,,,,,,,,,,,,
104,15.00	1.65	-5.50	12:48:21	203	40.93	96.02	-0.0545	0.0872	0.1903	0.1687	0.0262	0.0233	0.0186	0.0165	9	32,,,,,,,,,,,,,,,,,,
105,15.00	1.15	-5.50	12:48:34	175	35.15	89.31	-0.1075	0.0557	0.1991	0.1571	0.0296	0.0234	0.0209	0.0165	16	19,,,,,,,,,,,,,,,,,,
106,15.00	0.65	-5.50	12:48:46	193	39.62	92.18	-0.1451	0.0448	0.2020	0.1273	0.0286	0.0180	0.0202	0.0127	16	25,,,,,,,,,,,,,,,,,,
107,15.00	0.15	-5.50	12:48:58	162	32.80	93.95	-0.2020	0.0003	0.2241	0.1504	0.0346	0.0232	0.0245	0.0164	16	22,,,,,,,,,,,,,,,,,,
108,15.00	-0.35	-5.50	12:49:10	175	35.50	95.22	-0.2108	-0.0125	0.1709	0.1419	0.0254	0.0211	0.0180	0.0149	16	19,,,,,,,,,,,,,,,,,,
109,15.00	-0.85	-5.50	12:49:22	206	41.40	91.10	-0.1851	-0.0564	0.1817	0.1575	0.0249	0.0216	0.0176	0.0152	12	16,,,,,,,,,,,,,,,,,,
110,15.00	-1.35	-5.50	12:49:35	188	37.82	92.07	-0.1172	-0.0668	0.1863	0.1668	0.0267	0.0239	0.0189	0.0169	12	19,,,,,,,,,,,,,,,,,,
111,15.00	-1.85	-5.50	12:49:49	205	41.10	85.86	-0.0504	-0.0890	0.1973	0.1815	0.0271	0.0249	0.0191	0.0176	12	19,,,,,,,,,,,,,,,,,,
112,15.00	-2.35	-5.50	12:50:01	225	45.48	94.38	-0.0202	-0.0588	0.2210	0.2035	0.0289	0.0266	0.0205	0.0188	12	22,,,,,,,,,,,,,,,,,,
113,15.00	-2.85	-5.50	12:50:13	226	46.84	93.73	0.0491	-0.1208	0.2232	0.1867	0.0292	0.0244	0.0206	0.0173	12	19,,,,,,,,,,,,,,,,,,
114,15.00	-3.35	-5.50	12:50:25	201	40.85	84.67	0.0576	-0.1305	0.2007	0.2027	0.0278	0.0281	0.0197	0.0199	12	19,,,,,,,,,,,,,,,,,,
115,15.00	-3.85	-5.50	12:50:38	227	45.98	94.21	0.0775	-0.1395	0.1916	0.1796	0.0250	0.0234	0.0177	0.0166	12	22,,,,,,,,,,,,,,,,,,
116,15.00	-4.35	-5.50	12:50:50	260	52.15	94.48	0.0790	-0.1762	0.1920	0.1856	0.0234	0.0226	0.0165	0.0160	16	32,,,,,,,,,,,,,,,,,,
117,15.00	-4.85	-5.50	12:51:02	280	56.41	91.83	0.0678	-0.1783	0.2224	0.2112	0.0261	0.0248	0.0185	0.0175	19	22,,,,,,,,,,,,,,,,,,
118,15.00	-6.85	-6.00	12:51:21	253	50.80	88.39	0.0545	-0.1902	0.2189	0.2602	0.0270	0.0321	0.0191	0.0227	12	32,,,,,,,,,,,,,,,,,,
119,15.00	-6.35	-6.00	12:51:34	295	59.30	91.14	0.0504	-0.2271	0.2135	0.2035	0.0244	0.0233	0.0173	0.0165	16	32,,,,,,,,,,,,,,,,,,
120,15.00	-5.85	-6.00	12:51:46	199	40.10	91.99	0.0340	-0.2528	0.2081	0.2209	0.0290	0.0308	0.0205	0.0218	19	57,,,,,,,,,,,,,,,,,,
121,15.00	-5.35	-6.00	12:51:58	210	42.47	93.14	0.0484	-0.2206	0.2257	0.1786	0.0306	0.0242	0.0216	0.0171	12	41,,,,,,,,,,,,,,,,,,
122,15.00	-4.85	-6.00	12:52:10	203	41.03	91.40	0.0722	-0.1805	0.1928	0.2238	0.0266	0.0309	0.0188	0.0218	12	44,,,,,,,,,,,,,,,,,,
123,15.00	-4.35	-6.00	12:52:22	240	48.34	95.45	0.0928	-0.1954	0.2315	0.1914	0.0293	0.0243	0.0208	0.0172	12	28,,,,,,,,,,,,,,,,,,
124,15.00	-3.85	-6.00	12:52:35	244	49.29	92.86	0.0646	-0.1755	0.2138	0.2013	0.0269	0.0253	0.0190	0.0179	12	32,,,,,,,,,,,,,,,,,,
125,15.00	-3.35	-6.00	12:52:47	221	44.77	94.14	0.0419	-0.1415	0.2140	0.2132	0.0283	0.0282	0.0200	0.0199	12	22,,,,,,,,,,,,,,,,,,
126,15.00	-2.85	-6.00	12:52:59	241	48.53	94.25	0.0149	-0.1249	0.2289	0.1923	0.0290	0.0243	0.0205	0.0172	12	22,,,,,,,,,,,,,,,,,,
127,15.00	-2.35	-6.00	12:53:11	235	47.11	96.50	-0.0114	-0.1199	0.2087	0.1871	0.0267	0.0240	0.0189	0.0169	12	25,,,,,,,,,,,,,,,,,,
128,15.00	-1.85	-6.00	12:53:24	180	36.35	95.06	-0.0338	-0.0869	0.2189	0.2010	0.0321	0.0294	0.0227	0.0208	12	19,,,,,,,,,,,,,,,,,,
129,15.00	-1.35	-6.00	12:53:36	208	42.06	96.83	-0.1130	-0.1071	0.1941	0.1730	0.0264	0.0236	0.0187	0.0167	12	22,,,,,,,,,,,,,,,,,,
130,15.00	-0.85	-6.00	12:53:48	219	43.89	97.35	-0.1571	-0.0734	0.1880	0.1379	0.0250	0.0183	0.0176	0.0129	12	25,,,,,,,,,,,,,,,,,,
131,15.00	-0.35	-6.00	12:54:01	202	40.55	92.83	-0.1837	-0.0114	0.1768	0.1634	0.0244	0.0226	0.0173	0.0160	12	22,,,,,,,,,,,,,,,,,,
132,15.00	0.15	-6.00	12:54:13	157	31.82	96.63	-0.1777	0.0203	0.1730	0.1456	0.0272	0.0228	0.0192	0.0162	12	22,,,,,,,,,,,,,,,,,,
133,15.00	0.65	-6.00	12:54:25	196	40.38	90.42	-0.1670	0.0862	0.1897	0.1503	0.0266	0.0211	0.0188	0.0149	12	19,,,,,,,,,,,,,,,,,,
134,15.00	1.15	-6.00	12:54:38	164	33.09	95.20	-0.1129	0.0838	0.2076	0.1586	0.0319	0.0244	0.0225	0.0172	12	19,,,,,,,,,,,,,,,,,,
135,15.00	1.65	-6.00	12:54:52	194	38.98	96.08	-0.0660	0.1105	0.2298	0.1622	0.0324	0.0229	0.0229	0.0162	12	19,,,,,,,,,,,,,,,,,,
136,15.00	2.15	-6.00	12:55:04	224	45.07	97.00	-0.0261	0.1289	0.2338	0.1858	0.0307	0.0244	0.0217	0.0172	12	22,,,,,,,,,,,,,,,,,,
137,15.00	2.65	-6.00	12:55:16	202	40.54	91.78	0.0356	0.1630	0.2216	0.1875	0.0306	0.0259	0.0217	0.0183	16	25,,,,,,,,,,,,,,,,,,
138,15.00	3.15	-6.00	12:55:28	171	34.69	93.34	0.0607	0.1813	0.2193	0.1771	0.0330	0.0266	0.0233	0.0188	12	25,,,,,,,,,,,,,,,,,,
139,15.00	3.65	-6.00	12:55:41	215	43.65	96.92	0.0631	0.1988	0.2142	0.1972	0.0287	0.0264	0.0203	0.0187	12	25,,,,,,,,,,,,,,,,,,
140,15.00	4.15	-6.00	12:55:53	225	45.72	92.55	0.0873	0.2034	0.2148	0.1664	0.0281	0.0218	0.0199	0.0154	16	28,,,,,,,,,,,,,,,,,,
141,15.00	4.65	-6.00	12:56:05	189	38.52	96.38	0.0770	0.2229	0.1719	0.1630	0.0246	0.0233	0.0174	0.0165	12	19,,,,,,,,,,,,,,,,,,
142,15.00	5.15	-6.00	12:56:18	170	33.53	93.06	0.0316	0.2329	0.1853	0.1859	0.0279	0.0280	0.0198	0.0198	12	32,,,,,,,,,,,,,,,,,,
143,15.00	5.65	-6.00	12:56:31	228	45.87	95.12	0.0681	0.2352	0.1885	0.1817	0.0245	0.0236	0.0173	0.0167	16	19,,,,,,,,,,,,,,,,,,
144,15.00	6.15	-6.00	12:56:43	254	51.41	90.99	0.0439	0.2266	0.2066	0.2313	0.0255	0.0285	0.0180	0.0202	16	25,,,,,,,,,,,,,,,,,,
145,15.00	6.65	-6.00	12:56:55	221	44.43	80.87	0.0795	0.2021	0.1956	0.2203	0.0259	0.0291	0.0183	0.0206	16	22,,,,,,,,,,,,,,,,,,
